ID	CONCEPT	GRAPHEMES	DOCULECT	IPA	TOKENS
837	chaff	shübe	Ao-Chungli	ʃəbe	ʃ ə b e
838	to stand	noktak	Ao-Chungli	noktak	n o k t a k
839	knee	temokok	Ao-Chungli	temokok	t e m o k o k
840	dove	posü	Ao-Chungli	posə	p o s ə
841	dove	giduru	Ao-Chungli	giduru	g i d u r u
842	wall	jara	Ao-Chungli	ɟ͡ʝara	ɟ͡ʝ a r a
843	tight	togim	Ao-Chungli	togim	t o g i m
844	before	tamasa	Ao-Chungli	tamasa	t a m a s a
845	yoke	süngra	Ao-Chungli	səŋra	s ə ŋ r a
846	no	nunga	Ao-Chungli	nuŋa	n u ŋ a
847	we(inclusive)	asenok	Ao-Chungli	asenok	a s e n o k
848	time	anogo	Ao-Chungli	anogo	a n o g o
849	time	meshi	Ao-Chungli	meʃi	m e ʃ i
850	to press	anen	Ao-Chungli	anen	a n e n
851	to press	ajet	Ao-Chungli	aɟ͡ʝet	a ɟ͡ʝ e t
852	to lick	menak	Ao-Chungli	menak	m e n a k
853	to lick	mezük	Ao-Chungli	mezək	m e z ə k
854	thousand	meirijang	Ao-Chungli	meiriɟ͡ʝaŋ	m e i r i ɟ͡ʝ a ŋ
855	bed	yipten	Ao-Chungli	jipten	j i p t e n
856	half	odang	Ao-Chungli	odaŋ	o d a ŋ
857	to taste	menakdang	Ao-Chungli	menakdaŋ	m e n a k d a ŋ
858	to buy	ali	Ao-Chungli	ali	a l i
859	to squeeze	ajet	Ao-Chungli	aɟ͡ʝet	a ɟ͡ʝ e t
860	to rub	meyu	Ao-Chungli	meju	m e j u
861	you two		Ao-Chungli		
862	sister(elder)	teyi	Ao-Chungli	teji	t e j i
863	enough	teperi	Ao-Chungli	teperi	t e p e r i
864	fruit	tejang	Ao-Chungli	teɟ͡ʝaŋ	t e ɟ͡ʝ a ŋ
865	dry	takong	Ao-Chungli	takoŋ	t a k o ŋ
866	calf(of cow)	nashi-chanu	Ao-Chungli	naʃi+c͡çʰanu	n a ʃ i + c͡çʰ a n u
867	foot	tetsung	Ao-Chungli	tetsuŋ	t e t s u ŋ
868	foot	temopo	Ao-Chungli	temopo	t e m o p o
869	we(exclusive)	onok	Ao-Chungli	onok	o n o k
870	seed	metsü	Ao-Chungli	metsə	m e t s ə
871	bellows	misembong	Ao-Chungli	misemboŋ	m i s e m b o ŋ
872	sister(younger)	tenutzü	Ao-Chungli	tenuɟ͡ʝə	t e n u ɟ͡ʝ ə
873	to want	wara	Ao-Chungli	wara	w a r a
874	to want	tesensak	Ao-Chungli	tesensak	t e s e n s a k
875	root	tera	Ao-Chungli	tera	t e r a
876	today	tanü	Ao-Chungli	tanə	t a n ə
877	today	tanüp	Ao-Chungli	tanəp	t a n ə p
878	a trap	lungnem	Ao-Chungli	luŋnem	l u ŋ n e m
879	a trap	asang	Ao-Chungli	asaŋ	a s a ŋ
880	to sell	ayok	Ao-Chungli	ajok	a j o k
881	storm	yipru	Ao-Chungli	jipru	j i p r u
882	man(male)	tebur	Ao-Chungli	tebur	t e b u r
883	eleven	terika	Ao-Chungli	terika	t e r i k a
884	widow	amitzür	Ao-Chungli	amiɟ͡ʝər	a m i ɟ͡ʝ ə r
885	to seek	bushi	Ao-Chungli	buʃi	b u ʃ i
886	to fall	tsük	Ao-Chungli	tsək	t s ə k
887	voice	ola	Ao-Chungli	ola	o l a
888	yes	au	Ao-Chungli	au	a u
889	young	tanur	Ao-Chungli	tanur	t a n u r
890	young	lanur	Ao-Chungli	lanur	l a n u r
891	to forgive	atok	Ao-Chungli	atok	a t o k
892	to love	meim	Ao-Chungli	meim	m e i m
893	bush	songjanglijang	Ao-Chungli	soŋɟ͡ʝaŋliɟ͡ʝaŋ	s o ŋ ɟ͡ʝ a ŋ l i ɟ͡ʝ a ŋ
894	to ask(a question)	asongdang	Ao-Chungli	asoŋdaŋ	a s o ŋ d a ŋ
895	louse	atsük	Ao-Chungli	atsək	a t s ə k
896	louse	teruru	Ao-Chungli	teruru	t e r u r u
897	spoon	chikok	Ao-Chungli	c͡çʰikok	c͡çʰ i k o k
898	summer	meyi	Ao-Chungli	meji	m e j i
899	brave	tasü-aet	Ao-Chungli	tasə+aet	t a s ə + a e t
900	tiger	keyi	Ao-Chungli	keji	k e j i
901	to blow	aen	Ao-Chungli	aen	a e n
902	toe	temeyong	Ao-Chungli	temejoŋ	t e m e j o ŋ
903	to lift	ajongket	Ao-Chungli	aɟ͡ʝoŋket	a ɟ͡ʝ o ŋ k e t
904	to lift	meso	Ao-Chungli	meso	m e s o
905	to hear	angashi	Ao-Chungli	aŋaʃi	a ŋ a ʃ i
906	hawk	orija	Ao-Chungli	oriɟ͡ʝa	o r i ɟ͡ʝ a
907	hawk	lungzüba	Ao-Chungli	luŋzəba	l u ŋ z ə b a
908	west	anüolen	Ao-Chungli	anəolen	a n ə o l e n
909	warp(loom)	apama	Ao-Chungli	apama	a p a m a
910	to reap	aru	Ao-Chungli	aru	a r u
911	faith	tamang	Ao-Chungli	tamaŋ	t a m a ŋ
912	to hope	teimla	Ao-Chungli	teimla	t e i m l a
913	to laugh	menü	Ao-Chungli	menə	m e n ə
914	bridge	apu	Ao-Chungli	apu	a p u
915	to cut(with knife)	alep	Ao-Chungli	alep	a l e p
916	that(adj.)	aji	Ao-Chungli	aɟ͡ʝi	a ɟ͡ʝ i
917	curry	an	Ao-Chungli	an	a n
918	judgment	o-bendang	Ao-Chungli	o+bendaŋ	o + b e n d a ŋ
919	heddle		Ao-Chungli		
920	mountain	tenem	Ao-Chungli	tenem	t e n e m
921	brother(elder)	adi	Ao-Chungli	adi	a d i
922	monkey(macaque)		Ao-Chungli		
923	a well	tzübu	Ao-Chungli	ɟ͡ʝəbu	ɟ͡ʝ ə b u
924	sweat	asentzü	Ao-Chungli	asenɟ͡ʝə	a s e n ɟ͡ʝ ə
925	ginger	songmuk	Ao-Chungli	soŋmuk	s o ŋ m u k
926	table	langbang	Ao-Chungli	laŋbaŋ	l a ŋ b a ŋ
927	down	imanglen	Ao-Chungli	imaŋlen	i m a ŋ l e n
928	sorry	jashi	Ao-Chungli	ɟ͡ʝaʃi	ɟ͡ʝ a ʃ i
929	to shout	ola-agütsü	Ao-Chungli	ola+agətsə	o l a + a g ə t s ə
930	spindle*cotton)	pangtong	Ao-Chungli	paŋtoŋ	p a ŋ t o ŋ
931	cheek	tenibong	Ao-Chungli	teniboŋ	t e n i b o ŋ
932	to go out	tugu	Ao-Chungli	tugu	t u g u
933	to go out	adok	Ao-Chungli	adok	a d o k
934	breast	mama	Ao-Chungli	mama	m a m a
935	some	ishika	Ao-Chungli	iʃika	i ʃ i k a
936	clothes	süoshi	Ao-Chungli	səoʃi	s ə o ʃ i
937	animal	shiruru	Ao-Chungli	ʃiruru	ʃ i r u r u
938	strong	tashi-tulu	Ao-Chungli	taʃi+tulu	t a ʃ i + t u l u
939	first	müjüng	Ao-Chungli	məɟ͡ʝəŋ	m ə ɟ͡ʝ ə ŋ
940	first	tamasa	Ao-Chungli	tamasa	t a m a s a
941	bat(animal)	la	Ao-Chungli	la	l a
942	chair	theba	Ao-Chungli	theba	t h e b a
943	ant(generic)		Ao-Chungli		
944	to sit	amen	Ao-Chungli	amen	a m e n
945	to grind	aei	Ao-Chungli	aei	a e i
946	claw	temejüng	Ao-Chungli	temeɟ͡ʝəŋ	t e m e ɟ͡ʝ ə ŋ
947	mango	teti	Ao-Chungli	teti	t e t i
948	wing	tashikang	Ao-Chungli	taʃikaŋ	t a ʃ i k a ŋ
949	girl	tanur-tetzür	Ao-Chungli	tanur+teɟ͡ʝər	t a n u r + t e ɟ͡ʝ ə r
950	sick	shiranger	Ao-Chungli	ʃiraŋer	ʃ i r a ŋ e r
951	shoulder	tapubang	Ao-Chungli	tapubaŋ	t a p u b a ŋ
952	small	tila	Ao-Chungli	tila	t i l a
953	married	kei	Ao-Chungli	kei	k e i
954	married	aoba	Ao-Chungli	aoba	a o b a
955	book	kaküt	Ao-Chungli	kakət	k a k ə t
956	book	laishiba	Ao-Chungli	laiʃiba	l a i ʃ i b a
957	priest	putir	Ao-Chungli	putir	p u t i r
958	ford	tzü atendak	Ao-Chungli	ɟ͡ʝə#atendak	ɟ͡ʝ ə # a t e n d a k
959	to descend	alu	Ao-Chungli	alu	a l u
960	ink	shiai	Ao-Chungli	ʃiai	ʃ i a i
961	second(adj)	tanabuba	Ao-Chungli	tanabuba	t a n a b u b a
962	moth	tarütsü	Ao-Chungli	tarətsə	t a r ə t s ə
963	thunder	tsungmuk	Ao-Chungli	tsuŋmuk	t s u ŋ m u k
964	millet	chenchang	Ao-Chungli	c͡çʰenc͡çʰaŋ	c͡çʰ e n c͡çʰ a ŋ
965	gum(of tree)	ajaba	Ao-Chungli	aɟ͡ʝaba	a ɟ͡ʝ a b a
966	boat	rong	Ao-Chungli	roŋ	r o ŋ
967	loincloth	teperemsü	Ao-Chungli	teperemsə	t e p e r e m s ə
968	to obey	anga	Ao-Chungli	aŋa	a ŋ a
969	to light(ignite)	mi-apu	Ao-Chungli	mi+apu	m i + a p u
970	thumb	jemtsüba	Ao-Chungli	ɟ͡ʝemtsəba	ɟ͡ʝ e m t s ə b a
971	ear	tenarong	Ao-Chungli	tenaroŋ	t e n a r o ŋ
972	kind(sort)	tepu	Ao-Chungli	tepu	t e p u
973	to walk	jaja	Ao-Chungli	ɟ͡ʝaɟ͡ʝa	ɟ͡ʝ a ɟ͡ʝ a
974	jackal	shirong	Ao-Chungli	ʃiroŋ	ʃ i r o ŋ
975	foreigner	bendanger	Ao-Chungli	bendaŋer	b e n d a ŋ e r
976	person	nisung	Ao-Chungli	nisuŋ	n i s u ŋ
977	fish	ango	Ao-Chungli	aŋo	a ŋ o
978	the plains	lenten	Ao-Chungli	lenten	l e n t e n
979	to be	ali	Ao-Chungli	ali	a l i
980	to be	asü	Ao-Chungli	asə	a s ə
981	to boil	aja	Ao-Chungli	aɟ͡ʝa	a ɟ͡ʝ a
982	bean	jüngkenjang	Ao-Chungli	ɟ͡ʝəŋkenɟ͡ʝaŋ	ɟ͡ʝ ə ŋ k e n ɟ͡ʝ a ŋ
983	needle	ajem	Ao-Chungli	aɟ͡ʝem	a ɟ͡ʝ e m
984	to carry(in hand)		Ao-Chungli		
985	evening	likongtsütsü	Ao-Chungli	likoŋtsətsə	l i k o ŋ t s ə t s ə
986	to thatch	azü	Ao-Chungli	azə	a z ə
987	to fear	tsübu	Ao-Chungli	tsəbu	t s ə b u
988	also	-a	Ao-Chungli	+a	+ a
989	net	zütsük	Ao-Chungli	zətsək	z ə t s ə k
990	seventy	neter	Ao-Chungli	neter	n e t e r
991	to wash(self)	tzü-chigo	Ao-Chungli	ɟ͡ʝə+c͡çʰigo	ɟ͡ʝ ə + c͡çʰ i g o
992	end	tatüm	Ao-Chungli	tatəm	t a t ə m
993	to sleep	mejanga	Ao-Chungli	meɟ͡ʝaŋa	m e ɟ͡ʝ a ŋ a
994	to sleep	ayip	Ao-Chungli	ajip	a j i p
995	hoe	kotrang	Ao-Chungli	kotraŋ	k o t r a ŋ
996	brother(younger)	tenu	Ao-Chungli	tenu	t e n u
997	rice-beer	yi	Ao-Chungli	ji	j i
998	on	ma	Ao-Chungli	ma	m a
999	on	manung	Ao-Chungli	manuŋ	m a n u ŋ
1000	to do	inyak	Ao-Chungli	injak	i n j a k
1001	ant(black)	mejanak	Ao-Chungli	meɟ͡ʝanak	m e ɟ͡ʝ a n a k
1002	to heal	anüp	Ao-Chungli	anəp	a n ə p
1003	to sew	arer	Ao-Chungli	arer	a r e r
1004	to wish	nü	Ao-Chungli	nə	n ə
1005	basket(generic)	molok	Ao-Chungli	molok	m o l o k
1006	plate	so	Ao-Chungli	so	s o
1007	outside	tezülen	Ao-Chungli	tezəlen	t e z ə l e n
1008	uncle		Ao-Chungli		
1009	narrow	temesü	Ao-Chungli	temesə	t e m e s ə
1010	dumb	swarür	Ao-Chungli	swarər	s w a r ə r
1011	beetle		Ao-Chungli		
1012	crab	tsungen	Ao-Chungli	tsuŋen	t s u ŋ e n
1013	heart	temulungjang	Ao-Chungli	temuluŋɟ͡ʝaŋ	t e m u l u ŋ ɟ͡ʝ a ŋ
1014	garden	atsüki	Ao-Chungli	atsəki	a t s ə k i
1015	ant(white-termite)	shipo	Ao-Chungli	ʃipo	ʃ i p o
1016	finger	temeyong	Ao-Chungli	temejoŋ	t e m e j o ŋ
1017	a ring(finger ring)	küri	Ao-Chungli	kəri	k ə r i
1018	red	temerem	Ao-Chungli	temerem	t e m e r e m
1019	east	anüdoklen	Ao-Chungli	anədoklen	a n ə d o k l e n
1020	to sneeze	hachi	Ao-Chungli	hac͡çʰi	h a c͡çʰ i
1021	to look at	aji	Ao-Chungli	aɟ͡ʝi	a ɟ͡ʝ i
1022	to look at	reprang	Ao-Chungli	repraŋ	r e p r a ŋ
1023	grandchild	sümchir	Ao-Chungli	səmc͡çʰir	s ə m c͡çʰ i r
1024	third	tasembuba	Ao-Chungli	tasembuba	t a s e m b u b a
1025	monkey(langur)		Ao-Chungli		
1026	insect		Ao-Chungli		
1027	pool	awatsüng	Ao-Chungli	awatsəŋ	a w a t s ə ŋ
1028	hornbill	tenam	Ao-Chungli	tenam	t e n a m
1029	to ascend	atu	Ao-Chungli	atu	a t u
1030	to say	ashi	Ao-Chungli	aʃi	a ʃ i
1031	to ask for	mishi	Ao-Chungli	miʃi	m i ʃ i
1032	north	anüolen-tip	Ao-Chungli	anəolen+tip	a n ə o l e n + t i p
1033	to weave	atak	Ao-Chungli	atak	a t a k
1034	torch	milen	Ao-Chungli	milen	m i l e n
1035	they two		Ao-Chungli		
1036	creeper	arer	Ao-Chungli	arer	a r e r
1037	to warn	tekümdangtsü	Ao-Chungli	tekəmdaŋtsə	t e k ə m d a ŋ t s ə
1038	cattle	nashi	Ao-Chungli	naʃi	n a ʃ i
1039	the mind	temulung	Ao-Chungli	temuluŋ	t e m u l u ŋ
1040	to turn(int.)	meyip	Ao-Chungli	mejip	m e j i p
1041	to turn(int.)	anep	Ao-Chungli	anep	a n e p
1042	suddenly	aoksadang	Ao-Chungli	aoksadaŋ	a o k s a d a ŋ
1043	because	kechiaser	Ao-Chungli	kec͡çʰiaser	k e c͡çʰ i a s e r
1044	bird	ozü	Ao-Chungli	ozə	o z ə
1045	we two		Ao-Chungli		
1046	many	aeiga	Ao-Chungli	aeiga	a e i g a
1047	right(correct)	shitak	Ao-Chungli	ʃitak	ʃ i t a k
1048	eight	ti	Ao-Chungli	ti	t i
