"ID","NUMBER","ENGLISH","CONCEPTICON_ID","CONCEPTICON_GLOSS","ENGLISH_in_STEDT","ENGLISH_in_source"
"Marrison-1967-917-742",742,"stand",1442,"STAND","stand","to stand"
"Marrison-1967-917-743",743,"star",1430,"STAR","star","star"
"Marrison-1967-917-744",744,"steal",713,"STEAL","steal","to steal"
"Marrison-1967-917-745",745,"stick",1295,"STICK","stick","a stick"
"Marrison-1967-917-746",746,"sting",571,"STING","sting","to sting"
"Marrison-1967-917-747",747,"stink",1587,"SMELL (STINK)","stink","to stink"
"Marrison-1967-917-748",748,"stone",857,"STONE","stone","stone"
"Marrison-1967-917-749",749,"storm",858,"STORM","storm","storm"
"Marrison-1967-917-750",750,"straight",1404,"STRAIGHT","straight","straight"
"Marrison-1967-917-751",751,"straw",2230,"UNTAMED OR WILD","straw","straw"
"Marrison-1967-917-752",752,"strong",785,"STRONG","strong","strong"
"Marrison-1967-917-753",753,"suck",1421,"SUCK","suck","to suck"
"Marrison-1967-917-754",754,"suddenly",2920,"SUDDENLY","suddenly","suddenly"
"Marrison-1967-917-755",755,"suffer",1101,"SUFFER","suffer","to suffer"
"Marrison-1967-917-756",756,"sugar",862,"SUGAR","sugar","sugar"
"Marrison-1967-917-757",757,"sugar-cane",146,"SUGAR CANE","sugar-cane","sugar-cane"
"Marrison-1967-917-758",758,"sulphur (brimstone)",,,"sulphur (brimstone)","sulphur (brimstone)"
"Marrison-1967-917-759",759,"summer",1342,"SUMMER","summer","summer"
"Marrison-1967-917-760",760,"sun",1343,"SUN","sun","sun"
"Marrison-1967-917-761",761,"swallow",897,"SWALLOW","swallow","to swallow"
"Marrison-1967-917-762",762,"swear",1939,"SWEAR","swear","to swear"
"Marrison-1967-917-763",763,"sweat",125,"SWEAT (SUBSTANCE)","sweat","sweat"
"Marrison-1967-917-764",764,"sweep",230,"SWEEP","sweep","to sweep"
"Marrison-1967-917-765",765,"sweet",717,"SWEET","sweet","sweet"
"Marrison-1967-917-766",766,"swim",1439,"SWIM","swim","to swim"
"Marrison-1967-917-767",767,"sword",1535,"SWORD","sword","sword"
"Marrison-1967-917-768",768,"sword (weaving)",1535,"SWORD","sword (weaving)","sword (weaving)"
"Marrison-1967-917-769",769,"table",1775,"TABLE","table","table"
"Marrison-1967-917-770",770,"tail",1220,"TAIL","tail","tail"
"Marrison-1967-917-771",771,"take",1749,"TAKE","take","to take"
"Marrison-1967-917-772",772,"talk",2708,"TALK","talk","to talk"
"Marrison-1967-917-773",773,"tall",711,"TALL","tall","tall"
"Marrison-1967-917-774",774,"taro",351,"TARO","taro","taro"
"Marrison-1967-917-775",775,"taste",21,"TASTE (SOMETHING)","taste","to taste"
"Marrison-1967-917-776",776,"tax",873,"TAX","tax","tax"
"Marrison-1967-917-777",777,"tea",1373,"TEA","tea","tea"
"Marrison-1967-917-778",778,"teach",709,"TEACH","teach","to teach"
"Marrison-1967-917-779",779,"teacher",1038,"TEACHER","teacher","teacher"
"Marrison-1967-917-780",780,"tear",1735,"TEAR (SHRED)","tear","to tear"
"Marrison-1967-917-781",781,"tears (weeping)",1651,"TEAR (OF EYE)","tears (weeping)","tears (weeping)"
"Marrison-1967-917-782",782,"ten",1515,"TEN",,"ten"
"Marrison-1967-917-783",783,"thank",2412,"THANK (SOMBEODY)","thank","to thank"
"Marrison-1967-917-784",784,"that",78,"THAT","that","that (adj.)"
"Marrison-1967-917-785",785,"thatch",,,"thatch","to thatch"
"Marrison-1967-917-786",786,"then",2921,"THEN","then","then"
"Marrison-1967-917-787",787,"there",1937,"THERE","there","there"
"Marrison-1967-917-788",788,"they",817,"THEY","they","they"
"Marrison-1967-917-789",789,"they two",2635,"THEY TWO","they two","they two"
"Marrison-1967-917-790",790,"thick",1244,"THICK","thick","thick"
"Marrison-1967-917-791",791,"thief",1160,"THIEF","thief","thief"
"Marrison-1967-917-792",792,"thigh",800,"THIGH","thigh","thigh"
"Marrison-1967-917-793",793,"thin",2308,"THIN","thin","thin"
"Marrison-1967-917-794",794,"thing",738,"THING","thing","thing"
"Marrison-1967-917-795",795,"think",2271,"THINK","think","to think"
"Marrison-1967-917-796",796,"third",1859,"THIRD",,"third"
"Marrison-1967-917-797",797,"thirsty",847,"THIRSTY","thirsty","thirsty"
"Marrison-1967-917-798",798,"thirteen",1708,"THIRTEEN",,"thirteen"
"Marrison-1967-917-799",799,"thirty",1715,"THIRTY",,"thirty"
"Marrison-1967-917-800",800,"this",1214,"THIS","this","this (adj.)"
"Marrison-1967-917-801",801,"thorn",124,"THORN","thorn","thorn"
"Marrison-1967-917-802",802,"thou",1215,"THOU","thou","thou"
"Marrison-1967-917-803",803,"thousand",1843,"THOUSAND",,"thousand"
"Marrison-1967-917-804",804,"thread",1161,"THREAD","thread","thread"
"Marrison-1967-917-805",805,"three",492,"THREE",,"three"
"Marrison-1967-917-806",806,"throat",1346,"THROAT","throat","throat"
"Marrison-1967-917-807",807,"throw",1456,"THROW","throw","to throw"
"Marrison-1967-917-808",808,"thumb",1781,"THUMB","thumb","thumb"
"Marrison-1967-917-809",809,"thunder",1150,"THUNDER","thunder","thunder"
"Marrison-1967-917-810",810,"tie",1917,"TIE","tie","to tie"
"Marrison-1967-917-811",811,"tiger",846,"TIGER","tiger","tiger"
"Marrison-1967-917-812",812,"tight",3053,"TIGHT","tight","tight"
"Marrison-1967-917-813",813,"time",892,"TIME","time","time"
"Marrison-1967-917-814",814,"tired",1757,"TIRED","tired","tired"
"Marrison-1967-917-815",815,"to",,,"to","to"
"Marrison-1967-917-816",816,"tobacco",974,"TOBACCO","tobacco","tobacco"
"Marrison-1967-917-817",817,"today",1283,"TODAY","today","today"
"Marrison-1967-917-818",818,"toe",1389,"TOE","toe","toe"
"Marrison-1967-917-819",819,"together",2482,"TOGETHER","together","together"
"Marrison-1967-917-820",820,"tomorrow",1329,"TOMORROW","tomorrow","tomorrow"
"Marrison-1967-917-821",821,"tongue",1205,"TONGUE","tongue","tongue"
"Marrison-1967-917-822",822,"tonight",,,"tonight","tonight"
"Marrison-1967-917-823",823,"tooth",1380,"TOOTH","tooth","tooth"
"Marrison-1967-917-824",824,"top (i.e. highest point",1753,"TOP","top (i.e. highest point","top (highest point)"
"Marrison-1967-917-825",825,"top (i.e. highest point)",1753,"TOP","top (i.e. highest point)","top (highest point)"
"Marrison-1967-917-826",826,"torch",1919,"TORCH","torch","torch"
"Marrison-1967-917-827",827,"touch",1892,"TOUCH","touch","to touch"
"Marrison-1967-917-828",828,"towards",2754,"TOWARDS","towards","towards"
"Marrison-1967-917-829",829,"tower",1671,"TOWER","tower","tower"
"Marrison-1967-917-830",830,"town",1391,"TOWN","town","town"
"Marrison-1967-917-831",831,"trap",1075,"TRAP (PITFALL)","trap","a trap"
"Marrison-1967-917-832",832,"tree",906,"TREE","tree","tree"
"Marrison-1967-917-833",833,"tremble",52,"SHIVER","tremble","to tremble"
"Marrison-1967-917-834",834,"tribe",1549,"TRIBE","tribe","tribe"
"Marrison-1967-917-835",835,"true",1657,"TRUE","true","true"
"Marrison-1967-917-836",836,"trumpet",775,"TRUMPET","trumpet","trumpet"
"Marrison-1967-917-837",837,"turmeric",2842,"TURMERIC","turmeric","turmeric"
"Marrison-1967-917-838",838,"turn",1588,"TURN","turn","to turn (int.)"
"Marrison-1967-917-839",839,"twelve",1707,"TWELVE",,"twelve"
"Marrison-1967-917-840",840,"twenty",1710,"TWENTY",,"twenty"
"Marrison-1967-917-841",841,"two",1498,"TWO","two","two"
"Marrison-1967-917-842",842,"ugly",1548,"UGLY","ugly","ugly"
"Marrison-1967-917-843",843,"umbrella",3105,"UMBRELLA",,"umbrella"
"Marrison-1967-917-844",844,"uncle",1327,"UNCLE","uncle","uncle"
"Marrison-1967-917-845",845,"under",1485,"BELOW OR UNDER","under","under"
"Marrison-1967-917-846",846,"understand",1536,"UNDERSTAND","understand","to understand"
"Marrison-1967-917-847",847,"untie",352,"UNTIE","untie","to untie"
"Marrison-1967-917-848",848,"until",2753,"UNTIL","until","until"
"Marrison-1967-917-849",849,"up",1591,"UP","up","up"
"Marrison-1967-917-850",850,"urine",1142,"URINE","urine","urine"
"Marrison-1967-917-851",851,"use",2072,"USE (VERB)","use","to use"
"Marrison-1967-917-852",852,"valey",921,"VALLEY","valey","valley"
"Marrison-1967-917-853",853,"valley",921,"VALLEY","valley","valley"
"Marrison-1967-917-854",854,"vegetable",924,"VEGETABLES","vegetable","vegetable"
"Marrison-1967-917-855",855,"very",1311,"VERY","very","very"
"Marrison-1967-917-856",856,"village",930,"VILLAGE","village","village"
"Marrison-1967-917-857",857,"voice",1363,"VOICE","voice","voice"
"Marrison-1967-917-858",858,"vomit",1278,"VOMIT","vomit","to vomit"
"Marrison-1967-917-859",859,"waist",1681,"WAIST","waist","waist"
"Marrison-1967-917-860",860,"wait",1590,"WAIT (FOR)","wait","to wait"
"Marrison-1967-917-861",861,"walk",1443,"WALK","walk","to walk"
"Marrison-1967-917-862",862,"wall",933,"WALL (OF HOUSE)","wall","wall"
"Marrison-1967-917-863",863,"want",1784,"WANT","want","to want"
"Marrison-1967-917-864",864,"war",935,"WAR","war","war"
"Marrison-1967-917-865",865,"warn",,,"warn","to warn"
"Marrison-1967-917-866",866,"warp (loom)",,,"warp (loom)","warp (loom)"
"Marrison-1967-917-867",867,"wash (generic)",1453,"WASH","wash (generic)","to wash (generic)"
"Marrison-1967-917-868",868,"wash (self)",,,"wash (self)","to wash (self)"
"Marrison-1967-917-869",869,"wash (face)",,,"wash (face)","to wash (face)"
"Marrison-1967-917-870",870,"wash (clothes)",,,"wash (clothes)","to wash (clothes)"
"Marrison-1967-917-871",871,"wash (pots)",,,"wash (pots)","to wash (pots)"
"Marrison-1967-917-872",872,"water",948,"WATER","water","water"
"Marrison-1967-917-873",873,"wax",1931,"BEESWAX","wax","wax"
"Marrison-1967-917-874",874,"we (incl.)",1131,"WE (INCLUSIVE)","we (incl.)","we (inclusive)"
"Marrison-1967-917-875",875,"we (excl.)",1130,"WE (EXCLUSIVE)","we (excl.)","we (exclusive)"
"Marrison-1967-917-876",876,"we two",2634,"WE TWO","we two","we two"
"Marrison-1967-917-877",877,"weak",1601,"WEAK","weak","weak"
"Marrison-1967-917-878",878,"wear",976,"WEAR","wear","to wear"
"Marrison-1967-917-879",879,"weave",133,"WEAVE","weave","to weave"
"Marrison-1967-917-880",880,"weft",,,"weft","weft"
"Marrison-1967-917-881",881,"well",954,"WELL","well","a well"
"Marrison-1967-917-882",882,"well (adv.)",1035,"GOOD","well (adv.)","well(adv.)"
"Marrison-1967-917-883",883,"west",1817,"WEST","west","west"
"Marrison-1967-917-884",884,"wet",1726,"WET","wet","wet"
"Marrison-1967-917-885",885,"what?",1236,"WHAT","what?","what?"
"Marrison-1967-917-886",886,"when?",1238,"WHEN","when?","when?"
"Marrison-1967-917-887",887,"where?",1237,"WHERE","where?","where?"
"Marrison-1967-917-888",888,"whisper",55,"WHISPER","whisper","to whisper"
"Marrison-1967-917-889",889,"white",1335,"WHITE","white","white"
"Marrison-1967-917-890",890,"who?",1235,"WHO","who?","who?"
"Marrison-1967-917-891",891,"whole",2277,"WHOLE","whole","whole"
"Marrison-1967-917-892",892,"why?",1270,"WHY","why?","why?"
"Marrison-1967-917-893",893,"wicked",45,"EVIL","wicked","wicked"
"Marrison-1967-917-894",894,"wide",1243,"WIDE","wide","wide"
"Marrison-1967-917-895",895,"widow",1756,"WIDOW","widow","widow"
"Marrison-1967-917-896",896,"widower",1981,"WIDOWER","widower","widower"
"Marrison-1967-917-897",897,"wife",1199,"WIFE","wife","wife"
"Marrison-1967-917-898",898,"wind",960,"WIND","wind","the wind"
"Marrison-1967-917-899",899,"window",1375,"WINDOW","window","window"
"Marrison-1967-917-900",900,"wing",1257,"WING","wing","wing"
"Marrison-1967-917-901",901,"winter",1471,"WINTER","winter","winter"
"Marrison-1967-917-902",902,"wipe",1454,"WIPE","wipe","to wipe"
"Marrison-1967-917-903",903,"wise",698,"WISE","wise","wise"
"Marrison-1967-917-904",904,"wish",1784,"WANT","wish","to wish"
"Marrison-1967-917-905",905,"with (accompaniment)",1340,"WITH","with (accompaniment)","with (cum)"
"Marrison-1967-917-906",906,"within",1606,"INSIDE","within","within"
"Marrison-1967-917-907",907,"without",1478,"WITHOUT","without","without (sine)"
"Marrison-1967-917-908",908,"witness",1144,"WITNESS","witness","witness"
"Marrison-1967-917-909",909,"wolf",522,"WOLF","wolf","wolf"
"Marrison-1967-917-910",910,"woman",962,"WOMAN","woman","woman"
"Marrison-1967-917-911",911,"wonderful",,,"wonderful","wonderful"
"Marrison-1967-917-912",912,"wood (timber)",1803,"WOOD","wood (timber)","wood (timber)"
"Marrison-1967-917-913",913,"word",1599,"WORD","word","word"
"Marrison-1967-917-914",914,"work",984,"WORK (LABOUR)","work","work (n)"
"Marrison-1967-917-915",915,"world",965,"WORLD","world","world"
"Marrison-1967-917-916",916,"worm",1219,"WORM","worm","worm"
"Marrison-1967-917-917",917,"worship",257,"WORSHIP","worship","to worship"
"Marrison-1967-917-918",918,"wound",1109,"WOUND","wound","a wound"
"Marrison-1967-917-919",919,"wrap",1113,"WRAP","wrap","to wrap"
"Marrison-1967-917-920",920,"wrist",799,"WRIST","wrist","wrist"
"Marrison-1967-917-921",921,"write",1672,"WRITE","write","to write"
"Marrison-1967-917-922",922,"wrong",1390,"WRONG","wrong","wrong"
"Marrison-1967-917-923",923,"yam",410,"YAM","yam","yam"
"Marrison-1967-917-924",924,"year",1226,"YEAR","year","year"
"Marrison-1967-917-925",925,"yeast",967,"YEAST","yeast","yeast"
"Marrison-1967-917-926",926,"yellow",1424,"YELLOW","yellow","yellow"
"Marrison-1967-917-927",927,"yes",1268,"YES","yes","yes"
"Marrison-1967-917-928",928,"yesterday",1174,"YESTERDAY","yesterday","yesterday"
"Marrison-1967-917-929",929,"yoke",14,"YOKE","yoke","yoke"
"Marrison-1967-917-930",930,"you",1213,"YOU","you","you"
"Marrison-1967-917-931",931,"you two",2111,"YOU TWO","you two","you two"
"Marrison-1967-917-932",932,"young",1207,"YOUNG","young","young"
"Marrison-1967-917-933",933,"young man",76,"YOUNG MAN","young man","young man"
"Marrison-1967-917-934",934,"young woman",77,"YOUNG WOMAN","young woman","young woman"
